GDP,gdp_increase_rate,YYYYQ
2202.76,,19781
2331.633,0.05850523888212944,19782
2395.053,0.02719982089805728,19783
2476.949,0.034193815335193056,19784
2526.61,0.02004926221734893,19791
2591.247,0.025582499871368958,19792
2667.565,0.0294522289847321,19793
2723.883,0.02111213784856214,19794
2789.842,0.02421506356917691,19801
2797.352,0.0026919087174110956,19802
2856.483,0.021138204988146114,19803
2985.557,0.04518633578424924,19804
3124.206,0.04643991054265606,19811
3162.532,0.012267436910370133,19812
3260.609,0.03101217631948061,19813
3280.818,0.006197921921947902,19814
3274.302,-0.0019860900543705595,19821
3331.972,0.017612914141700964,19822
3366.322,0.01030921028147902,19823
3402.561,0.010765161502672704,19824
3473.413,0.020823138806328467,19831
3578.848,0.03035486997946979,19832
3689.179,0.030828635359758216,19833
3794.706,0.028604467281202695,19834
3908.054,0.029870034727327965,19841
4009.601,0.025984031950428532,19842
4084.25,0.01861756319394381,19843
4148.551,0.01574364938483197,19844
4230.168,0.01967361616140173,19851
4294.887,0.015299392364558573,19852
4386.773,0.02139427649668102,19853
4444.094,0.013066780524089161,19854
4507.894,0.014356131981006826,19861
4545.34,0.008306761427841813,19862
4607.669,0.013712725560684147,19863
4657.627,0.010842358685053233,19864
4722.156,0.0138544799744591,19871
4806.16,0.017789331822159138,19872
4884.555,0.016311358756262884,19873
5007.994,0.025271288786798296,19874
5073.372,0.013054728100712731,19881
5190.036,0.022995356934204736,19882
5282.835,0.017880222796142542,19883
5399.509,0.022085490082503156,19884
5511.253,0.020695215064925332,19891
5612.463,0.018364244936677654,19892
5695.365,0.014771055060853078,19893
5747.237,0.009107756921637122,19894
5872.701,0.021830316028380148,19901
5960.028,0.014869989124254746,19902
6015.116,0.009242909597068971,19903
6004.733,-0.0017261512496183906,19904
6035.178,0.005070167149813232,19911
6126.862,0.015191598325683175,19912
6205.937,0.012906280572338558,19913
6264.54,0.009443054288176045,19914
6363.102,0.01573331800898381,19921
6470.763,0.016919577903984573,19922
6566.641,0.014817108894267905,19923
6680.803,0.017385144094218097,19924
6729.459,0.0072829568541386,19931
6808.939,0.011810756258415545,19932
6882.098,0.010744552124787754,19933
7013.738,0.019127888036468033,19934
7115.652,0.014530625466762537,19941
7246.931,0.018449328325780945,19942
7331.075,0.011610984015164583,19943
7455.288,0.016943354146561118,19944
7522.289,0.008987043827146657,19951
7580.997,0.007804539283188916,19952
7683.125,0.01347157900207585,19953
7772.586,0.011643829821849971,19954
7868.468,0.012335920117191312,19961
8032.84,0.02088996231540885,19962
8131.408,0.012270629067677286,19963
8259.771,0.0157860729654693,19964
8362.655,0.012456035403402899,19971
8518.825,0.01867469123143306,19972
8662.823,0.016903504884769882,19973
8765.907,0.011899585158325232,19974
8866.48,0.011473199521738087,19981
8969.699,0.011641485685413011,19982
9121.097,0.016878827260535578,19983
9293.991,0.018955395387199703,19984
9411.682,0.012663128251361622,19991
9526.21,0.012168706932512041,19992
9686.626,0.01683943562025192,19993
9900.169,0.02204513728516,19994
10002.179,0.010303864509787708,20001
10247.72,0.024548750827194654,20002
10318.165,0.006874212019844617,20003
10435.744,0.011395340159805478,20004
10470.231,0.0033046996936680895,20011
10599.0,0.012298582524110424,20012
10598.02,-9.24615529767081e-05,20013
10660.465,0.005892138342822539,20014
10783.5,0.011541241399882551,20021
10887.46,0.009640654703945817,20022
10984.04,0.008870755897151472,20023
11061.433,0.007045950306080462,20024
11174.129,0.010188191710784666,20031
11312.766,0.012406962547147904,20032
11566.669,0.02244393634589459,20033
11772.234,0.01777218661656188,20034
11923.447,0.012844885686098317,20041
12112.815,0.015881984463050003,20042
12305.307,0.015891599103924348,20043
12527.214,0.018033438743137342,20044
12767.286,0.01916403759048113,20051
12922.656,0.012169383532255829,20052
13142.642,0.01702328066304637,20053
13324.204,0.013814726141060607,20054
13599.16,0.020635829352357637,20061
13753.424,0.011343641813170935,20062
13870.188,0.00848981315489139,20063
14039.56,0.012211225976172635,20064
14215.651,0.012542487086489862,20071
14402.082,0.013114489093746018,20072
14564.117,0.011250803876828419,20073
14715.058,0.010363896417475926,20074
14706.538,-0.0005789987372118999,20081
14865.701,0.010822601485135364,20082
14898.999,0.0022399212791917034,20083
14608.208,-0.019517485704912074,20084
14430.901,-0.012137491470548656,20091
14381.236,-0.0034415730521607513,20092
14448.882,0.004703768160121857,20093
14651.248,0.014005651094666005,20094
14764.611,0.007737429603266621,20101
14980.193,0.01460126514677551,20102
15141.605,0.010775028065392878,20103
15309.471,0.011086407286413857,20104
15351.444,0.00274163620676382,20111
15557.535,0.01342486087953687,20112
15647.681,0.005794362667350672,20113
15842.267,0.01243545289554393,20114
16068.824,0.01430079419820407,20121
16207.13,0.008607101552671192,20122
16319.54,0.0069358362646565475,20123
16420.386,0.006179463391737583,20124
16629.05,0.01270761844453605,20131
16699.551,0.004239628842297005,20132
16911.068,0.012666029164496662,20133
17133.114,0.013130217441027492,20134
17144.281,0.0006517787717981172,20141
17462.703,0.01857307401809405,20142
17743.227,0.016064179754989638,20143
17852.54,0.006160829707020143,20144
17991.348,0.007775252148993994,20151
18193.707,0.011247573000088495,20152
18306.96,0.006224844667444662,20153
18332.079,0.0013721011025316088,20154
18425.306,0.005085457028632723,20161
18611.617,0.010111690953734875,20162
18775.459,0.00880321145658658,20163
18968.041,0.010257112755539088,20164
19148.194,0.009497712494400457,20171
19304.506,0.008163276390452445,20172
19561.896,0.013333156517965294,20173
19894.75,0.017015426316549176,20174
20155.486,0.013105769109941212,20181
20470.197,0.015614160829463541,20182
20687.278,0.01060473428760833,20183
20819.269,0.006380298074981194,20184
21013.085,0.0093094526998041,20191
21272.448,0.012342928227816241,20192
21531.839,0.012193754099199205,20193
21706.532,0.00811324104736233,20194
21538.032,-0.007762640296478551,20201
19636.731,-0.0882764497703411,20202
21362.428,0.08788107348417618,20203
21704.706,0.016022429660148996,20204
22313.85,0.028065065705105585,20211
23046.934,0.032853317558377615,20212
23550.42,0.021846116277332017,20213
24349.121,0.03391451192802508,20214
24740.48,0.016072818398660038,20221
25248.476,0.020532988850660905,20222
25723.941,0.01883143362791473,20223
26144.956,0.01636666014744792,20224
